Guardian-nsga-hv,Guardian-moaco-hv,Guardian-nsga-time,Guardian-moaco-time,Hydralisk2-nsga-hv,Hydralisk2-moaco-hv,Hydralisk2-nsga-time,Hydralisk2-moaco-time,Hydralisk3-nsga-hv,Hydralisk3-moaco-hv,Hydralisk3-nsga-time,Hydralisk3-moaco-time,Ultralisk-nsga-hv,Ultralisk-moaco-hv,Ultralisk-nsga-time,Ultralisk-moaco-time,zergling3-nsga-hv,zergling3-moaco-hv,zergling3-nsga-time,zergling3-moaco-time
161.8,222.8,36.1123,93.2744,211.36,398.36,24.0502,50.2957,539201.3,633571.44,48.6111,180.431,245.3,199.3,103.276,366.932,794326.96,736190.16,22.7348,126.682
219.8,205.8,26.2535,134.088,200.56,451.16,17.7212,54.6329,511605.8,565570.48,40.0572,304.199,186.3,235.3,94.8412,343.27,868620.16,655853.36,29.3964,135.612
238.8,305.8,26.5525,92.9839,338.16,403.16,15.3237,54.362,303156.2,596194.4,63.8907,189.893,156.3,204.3,81.6751,413.886,1188818.16,1023919.04,31.2083,161.456
231.8,242.8,23.3137,80.3978,363.16,397.16,18.6096,53.7232,329262.7,671195.84,66.808,213.977,183.3,221.3,110.121,358.938,475921.92,663470.4,26.8751,114.219
205.8,198.8,20.4892,74.1693,247.36,508.06,15.3262,63.8129,405305.3,670780.68,49.3909,185.914,198.3,177.3,86.7978,299.949,678690,998972.64,26.7325,138.691
204.8,164.8,28.256,122.487,318.66,420.96,16.9875,58.038,379633.84,670533.42,43.9748,183.318,191.3,192.3,115.828,242.637,964032.96,1005914.64,38.4273,119.019
190.8,234.8,32.79,100.165,301.86,565.16,16.8666,53.7725,423082.34,401922.4,42.5895,206.307,238.3,209.3,75.9089,332.68,1002632.56,632292,38.1456,123.025
92.8,193.8,30.4106,122.42,224.36,416.96,17.8088,60.5198,501742.88,628698.74,33.7942,269.83,234.3,234.3,68.6932,344.652,640322.16,774414.64,35.9011,141.134
208.8,180.8,23.902,141.572,247.86,494.26,18.3105,47.9217,394817.3,521778.84,41.5138,239.535,232.3,206.3,107.891,254.206,614253.6,768653.04,28.3895,128.654
147.8,152.8,35.7263,82.3127,300.86,457.26,24.4335,50.7414,416608.5,531883.44,37.0374,253.073,210.3,252.3,87.0225,248.841,983070.24,867841.6,31.4751,159.337
213.8,241.8,20.8544,101.755,421.56,301.26,16.0569,51.6942,289914.36,333168.66,58.3968,205.383,204.3,179.3,126.947,225.216,699958.56,633644.4,23.292,132.959
202.8,153.8,27.3651,163.807,310.66,369.56,18.4092,65.4663,474665.78,383838.04,41.9251,240.216,243.3,208.3,105.744,270.866,556443.6,813483.6,24.192,152.041
135.8,173.8,22.543,122.749,257.36,387.06,15.1679,53.8197,388011.5,700399.88,41.502,213.33,262.3,191.3,92.9711,281.877,509799.36,1061257.04,31.8163,156.788
