NSGA-II,MOACO,NSGA-II,MOACO
161.8,222.8,0.582014,0.801439
219.8,205.8,0.790647,0.740288
238.8,305.8,0.858993,1.1
231.8,242.8,0.833813,0.873381
205.8,198.8,0.740288,0.715108
204.8,164.8,0.736691,0.592806
190.8,234.8,0.686331,0.844604
92.8,193.8,0.333813,0.697122
208.8,180.8,0.751079,0.65036
147.8,152.8,0.531655,0.54964
213.8,241.8,0.769065,0.869784
202.8,153.8,0.729496,0.553237
135.8,173.8,0.488489,0.62518
126.8,240.8,0.456115,0.866187
168.8,163.8,0.607194,0.589209
200.8,163.8,0.722302,0.589209
152.8,199.8,0.54964,0.718705
125.8,184.8,0.452518,0.664748
234.8,274.8,0.844604,0.988489
258.8,195.8,0.930935,0.704317
173.8,119.8,0.62518,0.430935
218.8,158.8,0.78705,0.571223
236.8,261.8,0.851799,0.941727
184.8,239.8,0.664748,0.86259
230.8,186.8,0.830216,0.671942
140.8,304.8,0.506475,1.096403
195.8,281.8,0.704317,1.013669
271.8,176.8,0.977698,0.635971
170.8,199.8,0.614388,0.718705
223.8,227.8,0.805036,0.819424
