NSGA-II,MOACO,NSGA-II,MOACO
539201.3,633571.44,0.163418,0.192019
511605.8,565570.48,0.155055,0.17141
303156.2,596194.4,0.091879,0.180691
329262.7,671195.84,0.099791,0.203422
405305.3,670780.68,0.122838,0.203296
379633.84,670533.42,0.115057,0.203222
423082.34,401922.4,0.128225,0.121812
501742.88,628698.74,0.152065,0.190542
394817.3,521778.84,0.119659,0.158138
416608.5,531883.44,0.126263,0.1612
289914.36,333168.66,0.087866,0.100975
474665.78,383838.04,0.143859,0.116331
388011.5,700399.88,0.117596,0.212273
644875.84,505477.74,0.195445,0.153197
431979.96,626823.92,0.130922,0.189974
557305.6,375697.6,0.168905,0.113864
606015.94,668588.44,0.183668,0.202632
537395.88,431279.94,0.162871,0.13071
441582.04,379835.9,0.133832,0.115119
808477.58,575351.44,0.245029,0.174374
491289.54,446489.92,0.148897,0.13532
424969.28,423468.5,0.128797,0.128342
460312.26,496563.9,0.139509,0.150496
539818.9,386667.1,0.163605,0.117189
294942.7,490364.24,0.08939,0.148617
434243.1,391158.84,0.131608,0.11855
643887.84,438062.14,0.195146,0.132765
451203.4,328460.6,0.136748,0.099548
798615.84,390563.44,0.24204,0.11837
371572.3,362934.84,0.112614,0.109996
