NSGA-II,MOACO,NSGA-II,MOACO,NSGA-II,MOACO,NSGA-II,MOACO,NSGA-II,MOACO
0.582014,0.801439,1.009465,0.820165,0.206004,0.388265,0.163418,0.192019,0.114327,0.10596
0.790647,0.740288,0.766667,0.968313,0.195478,0.439727,0.155055,0.17141,0.12502,0.094397
0.858993,1.1,0.64321,0.840741,0.329591,0.392943,0.091879,0.180691,0.171106,0.147372
0.833813,0.873381,0.754321,0.9107,0.353957,0.387096,0.099791,0.203422,0.068499,0.095493
0.740288,0.715108,0.816049,0.72963,0.241092,0.495185,0.122838,0.203296,0.097684,0.143782
0.736691,0.592806,0.787243,0.791358,0.310585,0.410292,0.115057,0.203222,0.138753,0.144781
0.686331,0.844604,0.980658,0.861317,0.294211,0.550838,0.128225,0.121812,0.144309,0.091006
0.333813,0.697122,0.964198,0.964198,0.218674,0.406394,0.152065,0.190542,0.092161,0.111461
0.751079,0.65036,0.955967,0.848971,0.241579,0.481735,0.119659,0.158138,0.088409,0.110632
0.531655,0.54964,0.865432,1.038272,0.293236,0.445673,0.126263,0.1612,0.141493,0.124908
0.769065,0.869784,0.840741,0.73786,0.410877,0.293626,0.087866,0.100975,0.100745,0.0912
0.729496,0.553237,1.001235,0.857202,0.302788,0.360195,0.143859,0.116331,0.080089,0.117084
0.488489,0.62518,1.079424,0.787243,0.250838,0.377251,0.117596,0.212273,0.073375,0.152746
0.456115,0.866187,0.721399,0.947737,0.329591,0.511559,0.195445,0.153197,0.145059,0.152726
0.607194,0.589209,0.692593,0.898354,0.276082,0.448207,0.130922,0.189974,0.107795,0.116639
0.722302,0.589209,0.696708,0.72963,0.385828,0.409025,0.168905,0.113864,0.126305,0.074522
0.54964,0.718705,0.865432,0.725514,0.230858,0.376374,0.183668,0.202632,0.089532,0.083817
0.452518,0.664748,0.560905,1.1,0.394405,0.421988,0.162871,0.13071,0.07423,0.098326
0.844604,0.988489,0.955967,0.840741,0.310975,0.380663,0.133832,0.115119,0.099477,0.117832
0.930935,0.704317,1.054733,0.704938,0.256491,0.40269,0.245029,0.174374,0.092126,0.107817
0.62518,0.430935,0.935391,0.770782,0.449474,0.411267,0.148897,0.13532,0.094347,0.075584
0.78705,0.571223,0.692593,0.853086,0.300838,0.422086,0.128797,0.128342,0.116195,0.125779
0.851799,0.941727,1.034156,0.902469,0.326764,0.383587,0.139509,0.150496,0.088211,0.139986
0.664748,0.86259,0.83251,1.025926,0.311754,0.383782,0.163605,0.117189,0.11136,0.183471
0.830216,0.671942,0.713169,0.939506,0.287583,0.50152,0.08939,0.148617,0.085419,0.127488
0.506475,1.096403,0.906584,0.783128,0.285828,0.448499,0.131608,0.11855,0.106058,0.09935
0.704317,1.013669,0.976543,0.906584,0.284464,0.359805,0.195146,0.132765,0.104551,0.159951
0.977698,0.635971,0.83251,0.692593,0.223938,0.586511,0.136748,0.099548,0.118298,0.147923
0.614388,0.718705,0.725514,0.589712,0.294405,0.416335,0.24204,0.11837,0.144307,0.089088
0.805036,0.819424,0.692593,0.993004,0.379103,0.41039,0.112614,0.109996,0.10041,0.108926
