NSGA-II,MOACO,NSGA-II,MOACO
245.3,199.3,1.009465,0.820165
186.3,235.3,0.766667,0.968313
156.3,204.3,0.64321,0.840741
183.3,221.3,0.754321,0.9107
198.3,177.3,0.816049,0.72963
191.3,192.3,0.787243,0.791358
238.3,209.3,0.980658,0.861317
234.3,234.3,0.964198,0.964198
232.3,206.3,0.955967,0.848971
210.3,252.3,0.865432,1.038272
204.3,179.3,0.840741,0.73786
243.3,208.3,1.001235,0.857202
262.3,191.3,1.079424,0.787243
175.3,230.3,0.721399,0.947737
168.3,218.3,0.692593,0.898354
169.3,177.3,0.696708,0.72963
210.3,176.3,0.865432,0.725514
136.3,267.3,0.560905,1.1
232.3,204.3,0.955967,0.840741
256.3,171.3,1.054733,0.704938
227.3,187.3,0.935391,0.770782
168.3,207.3,0.692593,0.853086
251.3,219.3,1.034156,0.902469
202.3,249.3,0.83251,1.025926
173.3,228.3,0.713169,0.939506
220.3,190.3,0.906584,0.783128
237.3,220.3,0.976543,0.906584
202.3,168.3,0.83251,0.692593
176.3,143.3,0.725514,0.589712
168.3,241.3,0.692593,0.993004
