NSGA-II,MOACO,NSGA-II,MOACO
794326.96,736190.16,0.213178,0.10041
868620.16,655853.36,0.114327,0.10596
1188818.16,1023919.04,0.12502,0.094397
475921.92,663470.4,0.171106,0.147372
678690,998972.64,0.068499,0.095493
964032.96,1005914.64,0.097684,0.143782
1002632.56,632292,0.138753,0.144781
640322.16,774414.64,0.144309,0.091006
614253.6,768653.04,0.092161,0.111461
983070.24,867841.6,0.088409,0.110632
699958.56,633644.4,0.141493,0.124908
556443.6,813483.6,0.100745,0.0912
509799.36,1061257.04,0.080089,0.117084
1007847.2,1061115.6,0.073375,0.152746
748944.24,810389.2,0.145059,0.152726
877548.16,517767.84,0.107795,0.116639
622054.56,582347.2,0.126305,0.074522
515736.16,683150.4,0.089532,0.083817
691153.36,818679.04,0.07423,0.098326
640075.76,749093.6,0.099477,0.117832
655508.56,525146,0.092126,0.107817
807305.76,873893.6,0.094347,0.075584
612876.96,972602.64,0.116195,0.125779
773709.36,1274729.04,0.088211,0.139986
593474.56,885765.84,0.11136,0.183471
736876.96,690270.64,0.085419,0.127488
726401.2,1111317.04,0.106058,0.09935
821914.16,1027748,0.104551,0.159951
1002624.4,618966.24,0.118298,0.147923
697632.8,756803.2,0.144307,0.089088
,,,0.108926
